slang_words,formal_words,word_index
grgr,gara-gara,g
grunya,gurunya,g
gthu,begitu,g
gtu,begitu,g
"gtu""",begitu-gitu,g
"gtu""an",begitu-gituan,g
gtu2,begitu-gitu,g
gtuh,begitu,g
gtuu,begitu,g
guaa,gua,g
guaaaaaaa,gua,g
guanteng,ganteng,g
guee,gue,g
gueee,gue,g
gueeeee,gue,g
gunaa,guna,g
guw,gue,g
gx,enggak,g
gya,gaya,g
hadapin,menghadapi,h
haddeh,aduh,h
hadeeehhh,aduh,h
hadeehh,aduh,h
hadeeuh,aduh,h
hadeuh,aduh,h
hadeuuh,aduh,h
hadeuuhhhh,aduh,h
hadirr,hadir,h
hadirrr,hadir,h
haduh,aduh,h
haduuuh,aduh,h
haii,hai,h
haiii,hai,h
hal2,hal-hal,h
halahh,alah,h
halangin,halangi,h
halllo,halo,h
hallo,halo,h
hallooo,halo,h
halooo,halo,h
halow,halo,h
hampasss,hempas,h
hancurin,menghancurkan,h
hancuuuuuy,hancur,h
"happi""",hepi-hepi,h
hapusin,hapuskan,h
haragain,menghargai,h
hargs,harga,h
hari2,hari-hari,h
haru,harus,h
hasilnyaaa,hasilnya,h
haslnya,hasilnya,h
hat,hati,h
"hati""",hati-hati,h
hati.a,hatinya,h
hati2,hati-hati,h
hatii,hati,h
hatiiii,hati,h
hay,hai,h
hayal,khayal,h
hayalanku,khayalanku,h
hayooo,hayo,h
hayukk,hayo,h
hayuu,hayo,h
hbis,habis,h
hbs,habis,h
hdk,hendak,h
hdp,hidup,h
hdpn,hadapan,h
hdpnya,hidupnya,h
hdup,hidup,h
hebaat,hebat,h
hebatt,hebat,h
hedeuuhh,aduh,h
heeee,hai,h
hehh,eh,h
heii,hai,h
helloo,halo,h
hellooooooo,halo,h
helooooo,halo,h
hematt,hemat,h
hempaass,hempas,h
hgga,hingga,h
hianatin,khianati,h
hidiyah,hidayah,h
hiduppp,hidup,h
hidupppp,hidup,h
hidupx,hidupnya,h
hiduupppp,hidup,h
hiii,hai,h
hijaabbb,hijab,h
hijabb,hijab,h
hijap,hijab,h
hilangin,menghilangkan,h
hilangv,hilang,h
himana,bagaimana,h
hiraukn,hiraukan,h
hiri,hari,h
hmpir,hampir,h
hndak,hendak,h
hndk,hendak,h
hngga,hingga,h
hokiii,hoki,h
hotak,botak,h
hotx,hotnya,h
hpus,hapus,h
hri,hari,h
hrsny,harusny,h
hrsnya,harusnya,h
hrusnya,harusnya,h
hslnya,hasilnya,h
ht,hati,h
hub,hubungi,h
hubngan,hubungan,h
hubunggi,hubungi,h
hujatann,hujatan,h
hy,hai,h
iaa,iya,i
ibliss,iblis,i
ibu2,ibu-ibu,i
ibuk2,ibu-ibu,i
idamann,idaman,i
idolaa,idola,i
idoolaaa,idola,i
idung,hidung,i
idungnya,hidungnya,i
idup,hidup,i
idupnya,hidupnya,i
igtlah,ingatlah,i
ihh,ih,i
ihhh,ih,i
ihhhh,ih,i
ihhhhh,ih,i
iih,ih,i
iihh,ih,i
iiih,ih,i
iiihh,ih,i
iiihhhh,ih,i
iiihhhhh,ih,i
iiii,ih,i
iiiihhhhhj,ih,i
iiiiiiiii,ih,i
iiiiiiiiii,ih,i
ijap,ijab,i
ikh,ih,i
ikut2,ikut-ikut,i
ikut2an,ikut-ikutan,i
ikutin,mengikuti,i
"ilang""",hilang-hilang,i
ilang-in,hilangkan,i
ilang2,hilang-hilang,i
ilang2an,hilang-hilangan,i
ilmh,ilmu,i
imut2,imut-imut,i
imutt,imut,i
imutttttt,imut,i
imuttzz,imut,i
imuutt,imut,i
imuuttt,imut,i
in,ini,i
indahhh,indah,i
indefendet,independen,i
indo,indonesia,i
indoneaia,indonesia,i
indonesiaaa,indonesia,i
indonesiaah,indonesia,i
infpyunnnn,ampun,i
ingeet,ingat,i
inget,ingat,i
ingetin,mengingatkan,i
inggat,ingat,i
inggrisny,inggrisnya,i
inghinn,ingin,i
ingi,ingin,i
inginkn,inginkan,i
ingt,ingat,i
inia,ini,i
iniehh,ini,i
inih,ini,i
inihhh,ini,i
inii,ini,i
iniii,ini,i
iniiiii,ini,i
iniiiiiiiiiiiiiii,ini,i
iniw,ini,i
inni,ini,i
insonniaaa,insomnia,i
iooo,lo,i
iriiiii,iri,i
iseng2,iseng-iseng,i
istimewaaa,istimewa,i
istiqamah,istikamah,i
istiqomah,istikamah,i
istiqomahhh,istikamah,i
it,itu,i
ithu,itu,i
ituh,itu,i
itumahh,itumah,i
ituu,itu,i
ituuu,itu,i
ituuuu,itu,i
ityl,itil,i
iu,itu,i
iy,iya,i
iyaa,iya,i
iyaaa,iya,i
iyaaaa,iya,i
iyaap,iya,i
iyaappps,iya,i
iyah,iya,i
iyak,iya,i
iyap,iya,i
iyh,iya,i
iyha,iya,i
iyuh,ih,i
iyuuhhh,ih,i
iyuuuhhhh,ih,i
j,saja,j
jaaangan,jangan,j
jaadii,jadi,j
jadii,jadi,j
jadilh,jadilah,j
jadu,jadi,j
jadulnya,jaman dulunya,j
jagain,menjaga,j
jahatin,menjahati,j
jakety,jaketnya,j
"jalan""nya",jalan-jalannya,j
jalan2,jalan-jalan,j
jalanani,menjalani,j
jalanin,menjalani,j
jamam,jaman,j
jaman2,jaman-jaman,j
jaman2nya,jaman-jamannya,j
jan,jangan,j
"jangan""",jangan-jangan,j
jangan2,jangan-jangan,j
janjutin,lanjutkan,j
janka,jangka,j
jaoooh,jauh,j
jari2,jari-jari,j
jatoh,jatuh,j
jatuhnyaa,jatuhnya,j
jauhh,jauh,j
jauhhh,jauh,j
jauhin,jauhi,j
jauuhhh,jauh,j
jawabanny,jawabannya,j
jd'y,jadinya,j
jdii,jadi,j
jdulnya,judulnya,j
jdwl,jadwal,j
"jelas""",jelas-jelas,j
jelas2,jelas-jelas,j
jelase,jelas,j
jelashh,jelas,j
jelasssss,jelas,j
"jelek""in",menjelek-jelekkan,j
jelek2,jelek-jelek,j
jelekin,menjelekkan,j
jelex,jelek,j
jels,jelas,j
jendes,janda,j
jendess,janda,j
jendesss,janda,j
jendral,jenderal,j
jeniuss,jenius,j
jerewi,jerawat,j
jgan,jangan,j
jgk,juga,j
jgn2,jangan-jangan,j
jh,saja,j
jidad,jidat,j
jilbabny,jilbabnya,j
jilbabnyaah,jilbabnya,j
jilbabnye,jilbabnya,j
jilbb,jilbab,j
jing,anjing,j
jirr,anjir,j
jirrrr,anjir,j
jjur,jujur,j
jk,jika,j
jkrta,jakarta,j
jlbb,jilbab,j
jlek,jelek,j
jln2,jalan-jalan,j
jls2,jelas-jelas,j
jmnya,jamnya,j
jmpaaaa,jumpa,j
jnagn,jangan,j
jnda,janda,j
jng,jangan,j
jngan,jangan,j
jngn,jangan,j
jngnn,jangan,j
jodohny,jodohnya,j
jodohx,jodohnya,j
jogetin,berjoget,j
jombsss,jomblo,j
jorokkkk,jorok,j
jorookknya,joroknya,j
jrang,jarang,j
jrnk,jarang,j
jt,juta,j
judulnyaa,judulnya,j
jugaa,juga,j
jugaaa,juga,j
jugaakk,juga,j
jugak,juga,j
jungkiir,jungkir,j
justeru,justru,j
jwab,jawab,j
jwban,jawaban,j
k',kak,k
kaa,kak,k
kaaa,kak,k
kaaaa,kak,k
kaaaaa,kak,k
kaaaaaaaaaakkkkkkkkkkk,kak,k
kaaaaaann,kan,k
kaaakk,kak,k
kaaan,kan,k
kaak,kak,k
kaakaaaa,kakak,k
kaakk,kak,k
kaan,kan,k
kaannnn,kan,k
kaasian,kasihan,k
kacauuuu,kacau,k
kaciiaann,kasihan,k
kafeh,kafe,k
kageeet,kaget,k
kageet,kaget,k
kaitannha,kaitannya,k
kaj,kak,k
kakakaaaaaaaaaaaaaa,kakak,k
kakakgh,kakak,k
kakakkk,kakak,k
kakakny,kakaknya,k
kakakuuu,kakakku,k
kakanga,kakaknya,k
kakanya,kakaknya,k
kakau,kalau,k
kakk,kak,k
kakkk,kak,k
kakkkk,kak,k
kakkkkk,kak,k
kalahnye,kalahnya,k
kale,kali,k
kaleee,kali,k
kaliaan,kalian,k
kaliann,kalian,k
kaliannn,kalian,k
kaliannnnnm,kalian,k
kaliannnnnn,kalian,k
kaliannnnnnn,kalian,k
kalii,kali,k
kaliii,kali,k
kaliiii,kali,k
kaliiiiiii,kali,k
kaliiin,kalian,k
kalik,kali,k
kalli,kali,k
kallo,kalo,k
kalogak,kalo enggak,k
kalok,kalo,k
kaloo,kalo,k
kalu,kalau,k
kalw,kalau,k
kam,kamu,k
kamiiii,kami,k
kamo,kamu,k
kampungn,kampungan,k
kamu2,kamu-kamu,k
kamunyaa,kamunya,k
kamuu,kamu,k
kamuuuu,kamu,k
kamyuhhh,kamu,k
kana,kanan,k
kanapa,kenapa,k
kancang,kencang,k
kangeeeeeeeeeeennnnn,kangen,k
kangeeeeeeeeennnnnnnn,kangen,k
kangeeeeeeeenya,kangen,k
kangeeeeennn,kangen,k
kangeeeennn,kangen,k
kangeeeennnnn,kangen,k
kangeeerrn,kangen,k
kangeen,kangen,k
kangeenn,kangen,k
kangem,kangen,k
kangenn,kangen,k
kangennn,kangen,k
kangennnn,kangen,k
kangennnnn,kangen,k
kangennnnnmnnnnnnnnnnnnnnnnn,kangen,k
kangennnnnn,kangen,k
kangennnnnnn,kangen,k
kangennnnnnnnnnnnnnnn,kangen,k
kanggen,kangen,k
kanggggg,kang,k
kann,kan,k
kannn,kan,k
kapaan,kapan,k
kapan2,kapan-kapan,k
kapn,kapan,k
kareno,karena,k
karir.a,karirnya,k
karmaaa,karma,k
kartunin,kartun,k
"karya""",karya-karya,k
karya2,karya-karya,k
kasar2,kasar-kasar,k
kasi,kasih,k
kasiaannn,kasihan,k
kasian,kasihan,k
kasiannn,kasihan,k
kasiatnya,khasiatnya,k
kasihn,kasihan,k
kasiian,kasihan,k
"kata""",kata-kata,k
kata2,kata-kata,k
kata2nya,kata-katanya,k
kata2nyaaa,kata-katanya,k
katanyaa,katanya,k
kate,kata,k
kauuuu,kau,k
kawinin,mengawini,k
kaya,kayak,k
kaya'a,kayanya,k
kayaa,kaya,k
kayahhh,kaya,k
kayakk,kayak,k
kayanye,kayanya,k
kayaq,kayak,k
kayax,kayak,k
kbahagiaan,kebahagiaan,k
kbawa,terbawa,k
kberkahn,keberkahan,k
kbetulan,kebetulan,k
kbiasaan,kebiasaan,k
kcantikan,kecantikan,k
kcewa,kecewa,k
kcil,kecil,k
kcwa,kecewa,k
kdang,kadang,k
kdg,kadang,k
kdg2,kadang-kadang,k
kdng,kadang,k
kdua,kedua,k
keak,kayak,k
kebagi,terbagi,k
"kebaikan""y",kebaikannya,k
kebalas,terbalas,k
kebangetak,kebangetan,k
kebanggan,kebanggaan,k
kebarat2an,kebarat-baratan,k
kebawa,terbawa,k
kebayang,terbayang,k
kebayanyaa,kebayanya,k
keberpa,keberapa,k
kebnyak'an,kebanyakan,k
kebongkar,terbongkar,k
kebukaaa,terbuka,k
kebukti,terbukti,k
kebykan,kebanyakan,k
kecantikanga,kecantikannya,k
kece2,kece-kece,k
keceee,kece,k
keche,kece,k
keciil,kecil,k
keciill,kecil,k
kecik,kecil,k
"kecil""",kecil-kecil,k
kecptan,kecepatan,k
kecr,kece,k
kedengeran,kedengaran,k
kedokk,kedok,k
kedpan,kedepan,k
keduaa,kedua,k
keedaannya,keadaannya,k
keee,ke,k
keeeeeren,keren,k
keeeerrrreeeennnnnnnnn,keren,k
keinget,teringat,k
kejadianny,kejadiannya,k
kejahatn,kejahatan,k
kejawab,terjawab,k
kejuu,keju,k
kekgini,kayak begini,k
kekk,kayak,k
kekuranganny,kekurangannya,k
kelahuran,kelahiran,k
kelaluan,kelakuan,k
kelas'a,kelasnya,k
keles,kali,k
keliatannya,kelihatannya,k
kellen,kalian,k
keluarin,keluarkan,k
kelus,kali,k
kemakan,termakan,k
kemariin,kemarin,k
kemarn,kemarin,k
kembaq,kembar,k
kemn,kemana,k
kemuh,kamu,k
kenaliiin,kenalkan,k
kenalin,mengenalkan,k
kenapaa,kenapa,k
kenape,kenapa,k
kenceng,kencang,k
kencng,kencang,k
kencqng,kencang,k
kenyataan2,kenyataan-kenyataan,k
kepad,kepada,k
kepd,kepada,k
kepda,kepada,k
kepeleset,kepleset,k
kepelesett,terpeleset,k
kepikir,terpikir,k
kepoh,kepo,k
kepoin,mengepoi,k
kepppoin,kepoi,k
keputihn,keputihan,k
keq,kek,k
kerasin,kerasi,k
kerass,keras,k
kereeeeen,keren,k
kereeeeennn,keren,k
kereeeeennnn,keren,k
kereeeen,keren,k
kereeen,keren,k
kereeennnn,keren,k
kereen,keren,k
kereenn,keren,k
kereennn,keren,k
"keren""",keren-keren,k
keren2,keren-keren,k
kerenn,keren,k
kerennn,keren,k
kerennnn,keren,k
kerennnnn,keren,k
kerjaan,pekerjaan,k
kerreeen,keren,k
kerrennn,keren,k
kerrrrennnn,keren,k
kesalahanny,kesalahannya,k
kesampean,kesampaian,k
kesinii,kesini,k
kesiniii,kesini,k
ketaatanny,ketaatannya,k
ketara,tertara,k
ketarik,tertarik,k
ketawaa,ketawa,k
ketawain,mentertawakan,k
ketawakkkk,ketawa,k
ketemuuu,ketemu,k
ketipu,tertipu,k
ketuker,tertukar,k
kgak,kagak,k
kgeeeen,kangen,k
kgn,kangen,k
kh,kah,k
kha,kah,k
khadiran,kehadiran,k
khadirannya,kehadirannya,k
kharismanya,karismanya,k
khdpn,kehidupan,k
khidupan,kehidupan,k
kira2,kira-kira,k
kirain,mengira,k
kiriii,kiri,k
kirimin,mengirimi,k
kitaa,kita,k
kitaaa,kita,k
kite,kita,k
kiya,kita,k
kka,kakak,k
kkak,kakak,k
kki,kaki,k
kklau,kalau,k
klahiran,kelahiran,k
klakuan,kelakuan,k
klas,kelas,k
klau,kalau,k
klauu,kalau,k
klen,kalian,k
klepek2,klepek-klepek,k
klg,keluarga,k
klhran,kelahiran,k
kli,kali,k
kliatan,kelihatan,k
kliatanya,kelihatannya,k
klihatan,kelihatan,k
klk,kelak,k
klkuan,kelakuan,k
kll,kalo,k
klmbutan,kelembutan,k
kln,kalian,k
klok,kalo,k
kloop,klop,k
klow,kalau,k
klrga,keluarga,k
klu,kalau,k
kluar,keluar,k
kmana,kemana,k
kmana2,kemana-mana,k
kmar,kamar,k
kmaren,kemarin,k
kmariiin,kemarin,k
kmarin,kemarin,k
kmauan,kemauan,k
kmbali,kembali,k
kmbang,kembang,k
kmbl,kembali,k
kmewahan,kemewahan,k
kmi,kami,k
kmn,kemana,k
kmren,kemarin,k
kmrin,kemarin,k
kmu,kamu,k
knan,kanan,k
kndung,kandung,k
kngen,kangen,k
kngenn,kangen,k
kngn,kangen,k
knlan,kenalan,k
knpp,kenapa,k
knsul,konsultasi,k
knyataan,kenyataan,k
ko,kok,k
kobul,kabul,k
kocaaaak,kocak,k
kocaaaakkk,kocak,k
kocakkk,kocak,k
kocakkkkkk,kocak,k
kocakkkkkkkkkkkkkk,kocak,k
koclak,kocak,k
kokkk,kok,k
kokohh,engkoh,k
komen2,komen-komen,k
komen2an,komen-komenan,k
komenan,komentar,k
komenannya,komentarnya,k
koment,komentar,k
komentar2,komentar-komentar,k
komentarin,mengomentari,k
komentnya,komentarnya,k
komenx,komennya,k
komntr,komentar,k
komuk,muka,k
komunitas2,komunitas-komunitas,k
konsekwensi,konsekuensi,k
konsul,konsultasi,k
kontak2,kontak-kontak,k
konten2,konten-konten,k
koplak,kocak,k
koplakkk,koplak,k
korek2,korek-korek,k
kostom,kostum,k
kox,kok,k
kpada,kepada,k
kpan,kapan,k
kpancing,terpancing,k
kpleset,kepleset,k
kpn2,kapan-kapan,k
kpnpun,kapanpun,k
kpuasan,kepuasan,k
kq,kok,k
kqmu,kamu,k
kr,kira,k
kra,kira,k
kraya,karya,k
kreative,kreatif,k
kreean,keren,k
kreeenn,keren,k
kreen,keren,k
kren,keren,k
krena,karena,k
krenn,keren,k
kri,kiri,k
kriput,keriput,k
krjaan,pekerjaan,k
krmh,ke rumah,k
krna,karena,k
krng,kurang,k
krpoooo,kepo,k
krudung,kerudung,k
krudungan,kerudungan,k
krus,kurus,k
krya,karya,k
ksenangan,kesenangan,k
ksh,kasih,k
ksih,kasih,k
ksini,kesini,k
ksitu,kesitu,k
kslahan,kesalahan,k
kslhn,kesalahan,k
ksni,kesini,k
ksukaanmuuu,kesukaanmu,k
ksyngn,kesayangan,k
kt2,kata-kata,k
kta,kita,k
ktaa,kita,k
ktaatan,ketaatan,k
ktanya,katanya,k
ktawa,ketawa,k
ktemu,ketemu,k
ktergantungan,ketergantungan,k
ktg,kita,k
ktika,ketika,k
ktnya,katanya,k
ktwa,ketawa,k
kuaaatt,kuat,k
kuatttt,kuat,k
kubarikan,kuberikan,k
kucing'y,kucingnya,k
kueren2,keren-keren,k
kuliyh,kuliah,k
kuninggg,kuning,k
kuningggg,kuning,k
kunjungin,kunjungi,k
kura2,kura-kura,k
kurangin,kurangi,k
kureeeen,keren,k
kusem,kusam,k
kususnya,khususnya,k
kutuu,kutu,k
kuu,ku,k
kuy,yuk,k
kuyy,yuk,k
kuyyy,yuk,k
kwatir,kawatir,k
kx,kak,k
kya,kaya,k
kyak,kayak,k
kyaknya,kayaknya,k
kyanya,kayanya,k
kyax,kayak,k
kyk.a,kayaknya,k
kyknya,kayaknya,k
kyy,kaya,k
laa,lah,l
laaaah,lah,l
ladenin,meladeni,l
laen,lain,l
laenny,lainnya,l
lafazd,lafaz,l
lagihh,lagi,l
lagii,lagi,l
lagiii,lagi,l
lagiiii,lagi,l
laginy,laginya,l
lagu'y,lagunya,l
lagu2,lagu-lagu,l
lagu2nya,lagu-lagunya,l
lahh,lah,l
lahhh,lah,l
lahhhhhh,lah,l
lahirr,lahir,l
lainnn,lain,l
lainnyaa,lainnya,l
lairannya,kelahirannya,l
"laki""",laki-laki,l
laki2,laki-laki,l
lakik,laki,l
"laku""",laku-laku,l
lakuin,melakukan,l
lama2,lama-lama,l
lancr,lancar,l
langgengggg,langgeng,l
langgenh,langgeng,l
lanjutin,lanjutkan,l
lanjutkaaaaan,lanjutkan,l
lapakk,lapak,l
latian,latihan,l
lau,kau,l
lawaaaas,lawas,l
lbh,lebih,l
lbih,lebih,l
lbihh,lebih,l
lcu,lucu,l
le,boleh,l
lebar2,lebar-lebar,l
lebayy,lebay,l
lebh,lebih,l
ledekin,ledeki,l
ledkin,meledeki,l
lengkapp,lengkap,l
lengkeeett,lengket,l
lenje,lenjeh,l
lepasin,melepas,l
lggeng,langgeng,l
lggi,lagi,l
lgkah2,langkah-langkah,l
lgs,langsung,l
lgsung,langsung,l
lgu,lagu,l
lgunya,lagunya,l
lh,boleh,l
lha,lah,l
lhat,lihat,l
lhir,lahir,l
lhirr,lahir,l
lhoo,loh,l
lhooo,loh,l
liaat,lihat,l
liaatt,lihat,l
liad,lihat,l
liat'y,lihatnya,l
liat2,lihat-lihat,l
liatiii,lihat,l
liatin,memperlihatkan,l
liatlah,lihatlah,l
liatnya,lihatnya,l
liatnyaaa,lihatnya,l
liatt,lihat,l
liattt,lihat,l
lihaat,lihat,l
lihaatttt,lihat,l
liht,lihat,l
lipetan,lipatan,l
liptsk,lipstik,l
liyat,lihat,l
liyatnya,lihatnya,l
lkuin,lakukan,l
llki,lelaki,l
lluu,lu,l
lluuccuu,lucu,l
lma,lama,l
lngsing,langsing,l
lngsung,langsung,l
lohh,loh,l
lohhh,loh,l
lohhhh,loh,l
loksyut,lokasi syuting,l
loncatt,loncat,l
loncattt,loncat,l
loo,loh,l
looh,loh,l
loohhh,loh,l
looo,loh,l
loooh,loh,l
looohh,loh,l
lsg,langsung,l
lt,lantai,l
luaarrr,luar,l
luccu,lucu,l
luco,lucu,l
lucu2,lucu-lucu,l
lucuk,lucu,l
lucukkkkk,lucu,l
lucunaaa,lucunya,l
lucunyah,lucunya,l
lucuu,lucu,l
lucuukk,lucu,l
lucuuu,lucu,l
lucuuuk,lucu,l
lucuuuu,lucu,l
lucuuuuu,lucu,l
lucuuuuuuuu,lucu,l
lucuuuuuuuuuu,lucu,l
lucux,lucunya,l
luh,lu,l
luhhh,lu,l
lupain,melupakan,l
lurusin,meluruskan,l
luthuna,lucunya,l
lutu,lucu,l
lutuna,lucunya,l
lutunaa,lucunya,l
lutunaaa,lucunya,l
luu,lu,l
luucuuu,lucu,l
luuuaar,luar,l
luuuucuuu,lucu,l
lyt,lihat,l
m,sama,m
ma,sama,m
maaasss,mas,m
maafin,memaafi,m
maak,mak,m
maap,maaf,m
maapin,maaf,m
maau,mau,m
maauuu,mau,m
macam2,macam-macam,m
macem2,macam-macam,m
maenya,mainnya,m
mahall,mahal,m
mahh,mah,m
mahhhh,mah,m
mai,mau,m
main2,main-main,m
majuuu,maju,m
makany,makanya,m
makanyaa,makanya,m
makasi,terima kasih,m
make,memakai,m
"maki""",maki-maki,m
makkk,mak,m
makny,maknya,m
maksd,maksud,m
maksih,terima kasih,m
maksir,menaksir,m
maksutku,maksudku,m
malangg,malang,m
males,malas,m
malh,malah,m
malingg,maling,m
malsudnya,maksudnya,m
maluu,malu,m
maluuu,malu,m
maluuuu,malu,m
mama.nyy,mamanya,m
mamas,mas,m
mamax,mamanya,m
mamer,memamerkan,m
mampuussss,mampus,m
mampuuu,mampu,m
mancing2,memancing-mancing,m
mancungin,memancungkan,m
mandiin,memandikan,m
mang,memang,m
manisnyaaaa,manisnya,m
manisss,manis,m
manjain,memanjakan,m
mansetan,bermanset,m
mansyoallah,masyaallah,m
manta,mantan,m
mantaaap,mantap,m
mantaap,mantap,m
mantabb,mantab,m
mantabs,mantab,m
mantaff,mantap,m
mantanny,mantannya,m
mantapp,mantap,m
mantappp,mantap,m
mantapppppp,mantap,m
manteb,mantap,m
manteep,mantap,m
mantepp,mantap,m
manteppp,mantap,m
mantes,memantas,m
manusiy,manusia,m
marah2,marah-marah,m
marah2an,marah-marahan,m
marh,marah,m
martabakk,martabak,m
masa2,masa-masa,m
masaaaa,masa,m
masalahh,masalah,m
masi,masih,m
"masing""",masing-masing,m
masing2,masing-masing,m
masio,masih,m
maslah,masalah,m
maso,masa,m
massss,mas,m
masyaallahhh,masyaallah,m
masyarakay,masyarakat,m
mata'y,matanya,m
matany,matanya,m
mataq,mataku,m
mateeeeeeeeeeee,mati,m
mateeeek,mati,m
"mati""an",mati-matian,m
matii,mati,m
mato,mata,m
mattihhh,mati,m
mauu,mau,m
mauuu,mau,m
mauuuu,mau,m
mauuuuu,mau,m
mauuuuuu,mau,m
mauuuuuuu,mau,m
maw,mau,m
may,mau,m
mayan,lumayan,m
mayann,lumayan,m
mb,mbak,m
"mba""",mbak-mbak,m
mbaa,mbak,m
mbaaa,mbak,m
mbaaahhh,mbah,m
mbaaass,mbak,m
mbaak,mbak,m
mbaakk,mbak,m
mbahh,mbah,m
"mbak""",mbak-mbak,m
mbak2,mbak-mbak,m
mbaknyaahh,mbaknya,m
mbakx,mbaknya,m
mbanya,mbaknya,m
mbg,mbak,m
mbil,sambil,m
mbk,mbak,m
mblo,jomblo,m
mblooo,jomblo,m
mboizzz,bois,m
mbuh,embuh,m
mcm,macam,m
"mdh""",mudah-mudah,m
mdh2an,mudah-mudahan,m
mdh2n,mudah-mudahan,m
megang,memegang,m
mehoonggggg,mahal,m
meker,mikir,m
melahirin,melahirkan,m
melakukn,melakukan,m
melebihin,melebihi,m
melihara,memelihara,m
meluk,memeluk,m
"membanding""",membanding-banding,m
menasehati,menasihati,m
menbelah,membelah,m
mendam,memendam,m
mendapatkn,mendapatkan,m
mendj,menjadi,m
menegerti,mengerti,m
mengait2kan,mengait-ngaitkan,m
mengalahkn,mengalahkan,m
mengherthii,mengerti,m
menghilangkn,menghilangkan,m
mengikutii,mengikuti,m
mengirusi,mengurusi,m
mengncang,mengencang,m
mengperbolehkan,memperbolehkan,m
menjdi,menjadi,m
menjelekan,menjelekkan,m
"mentah""",mentah-mentah,m
"mentang""",mentang-mentang,m
menurur,menurut,m
menyebut2,menyebut-nyebut,m
menyenangkn,menyenangkan,m
meranin,memerankan,m
mereka2,mereka-mereka,m
merekaa,mereka,m
merekaaaa,mereka,m
merekak,mereka,m
meriahh,meriah,m
merindinggg,merinding,m
merka,mereka,m
merrid,merit,m
mesrany,mesranya,m
met,selamat,m
mf,maaf,m
mff,maaf,m
mg,moga,m
mgk,mungkin,m
mh,mah,m
miara,memiara,m
mikir2,memikir-mikir,m
mikirin,memikirkan,m
mikirinnn,memikirkan,m
milih,memilih,m
milikin,memiliki,m
mimin,admin,m
mimpiii,mimpi,m
minpi,mimpi,m
minta,meminta,m
mintk,minta,m
"minyak""an",minyak-minyakan,m
miriiiiip,mirip,m
miriiiip,mirip,m
miriiippp,mirip,m
miriip,mirip,m
miring2,miring-miring,m
miriplahhhhhh,miriplah,m
miripp,mirip,m
mirippp,mirip,m
miripppp,mirip,m
mirp,mirip,m
mitnah,memfitnah,m
mk,maka,m
mk.a,makanya,m
mkanya,makanya,m
mkin,makin,m
mkir,memikir,m
mkn,makin,m
mknya,makanya,m
mksdku,maksudku,m
mksdny,maksudnya,m
mksdnya,maksudnya,m
mksdx,maksudnya,m
mksh,terima kasih,m
mksih,terima kasih,m
mkst,maksud,m
mksud,maksud,m
mlepaskan,melepaskan,m
mlh,malah,m
mlikk,milik,m
mlm,malam,m
mlt.a,mulutnya,m
mlu,malu,m
mlz,malas,m
mmang,memang,m
mmbanggakan,membanggakan,m
mmbela,membela,m
mmberi,memberi,m
mmberikan,memberikan,m
mmberikn,memberikan,m
mmbodohkan,membodohkan,m
mmg,memang,m
mmperbaiki,memperbaiki,m
mmz,mas,m
mn,mana,m
mna,mana,m
mnambh,menambah,m
mncoba,mencoba,m
mndaptkan,mendapatkan,m
mnding,mending,m
mndpat,mendapat,m
mndpt,mendapat,m
mnerima,menerima,m
mngasi,mengasih,m
mngerti,mengerti,m
mnghina,menghina,m
mngikuti,mengikuti,m
mngira,mengira,m
mngkannya,mangkanya,m
mngkin,mungkin,m
mnilai,menilai,m
mnis2nya,manis-manisnya,m
mnisss,manis,m
mnjadi,menjadi,m
mnjawab,menjawab,m
mnjdi,menjadi,m
mnjdkan,menjadikan,m
mnjijikaaaaaan,menjijikkan,m
mnjmput,menjemput,m
mnjual,menjual,m
mnrtkuu,menurutku,m
mnta,minta,m
mntn,mantan,m
mnusuk,menusuk,m
mnutup,menutup,m
model2,model-model,m
modes,modis,m
mohom,mohon,m
moqa,moga,m
motret,memotret,m
mrah,marah,m
mrangkul,merangkul,m
mreka,mereka,m
mrekaa,mereka,m
mrekaaaa,mereka,m
mrip,mirip,m
mrit,merit,m
mrk,mereka,m
mrka,mereka,m
mrnghadapi,menghadapi,m
mrusak,merusak,m
ms,masih,m
"ms""",masa-masa,m
msa,masa,m
msalah,masalah,m
msg2,masing-masing,m
msih,masih,m
mskasih,terima kasih,m
msknya,masaknya,m
mslhnya,masalahnya,m
mst,mesti,m
msuk,masuk,m
mtanya,matanya,m
mti,mati,m
mualll,mual,m
muantaap,mantap,m
muantteepp,mantap,m
mudaa,muda,m
"mudah""an",mudah-mudahan,m
"mudah""n",mudah-mudahan,m
mudah2,mudah-mudah,m
mudah2an,mudah-mudahan,m
mudah2n,mudah-mudahan,m
"mudh""an",mudah-mudahan,m
muga,moga,m
"muka""",muka-muka,m
muka2,muka-muka,m
mukae,mukanya,m
mukanyaa,mukanya,m
mukax,mukanya,m
muke,muka,m
muliany,mulianya,m
mulusssss,mulus,m
mulut2,mulut-mulut,m
mulutny,mulutnya,m
mulutnyaaa,mulutnya,m
muluuu,melulu,m
munaafikk,munafik,m
munafikk,munafik,m
mungki,mungkin,m
mungkiin,mungkin,m
mupeng,muka pengin,m
muraaaaah,murah,m
murahhh,murah,m
murhan,murahan,m
murmer,murah meriah,m
mutihin,memutihkan,m
mutuain,memutuskan,m
