tweet,Processed Text
Yang mau liat muka bininya secara jelas nih gue kasih liat,"['mau', 'lihat', 'muka', 'bini', 'jelas', 'ini', 'saya', 'kasih', 'lihat']"
"sebenernya dia udah pernah spill nggak sih pas interview di yutup, cuma nggak pada nanggapin serius. antara denial, atau gmn","['sebenarnya', 'sudah', 'pernah', 'spill', 'sih', 'pas', 'interview', 'yutup', 'cuma', 'pada', 'nanggapin', 'serius', 'denial', 'bagaimana']"
"Intinya, kalo istrinya kasihan karna ga dipublikasi. So why dia masih punya inisiatif buat jenguk ardhito ke penjara? No one knows guys, gausah sok ngehujat dan merasa keren sama hal yang cuma berasal dari asumsi kalian sendiri","['inti', 'kalau', 'istri', 'kasihan', 'karena', 'enggak', 'publikasi', 'sok', 'why', 'masih', 'punya', 'inisiatif', 'buat', 'jenguk', 'ardhito', 'penjara', 'no', 'one', 'knows', 'teman-teman', 'enggak usah', 'sok', 'menghujat', 'rasa', 'keren', 'sama', 'yang', 'cuma', 'asal', 'asumsi', 'kalian', 'sendiri']"
Si paus gimana kabarnyaaa?,"['sih', 'paus', 'bagaimana', 'kabarnyaaa']"
"""Demi apapun aku ga tau dia siapa.","['apa', 'enggak', 'tahu', 'siapa']"
"Ada yg bilang dia musisi tp tetep aku ga tau. Banyak cewek alay yg galau dan bilang """"Masih mending sih ardhito Kasus narkoboy"""" dan aku ga tau di mana letak mending nya""","['yang', 'bilang', 'musisi', 'tapi', 'tetap', 'enggak', 'tahu', 'banyak', 'cewek', 'norak', 'yang', 'galau', 'bilang', 'lebih baik', 'sih', 'ardhito', 'kasus', 'narkoboy', 'enggak', 'tahu', 'mana', 'letak', 'lebih baik', 'nya']"
"""Kaget semua orang kaget.","['kaget', 'semua', 'kaget']"
"Biarin ajasi gak publish, lu kira bakal jd kek mana sosmed istrinya kalo doi ngasih tau udah nikah? Gua yakin jg kemauan istrinya begitu, biar hidup dia tenang.""","['biarkan', 'ajasi', 'enggak', 'publish', 'kamu', 'kira', 'bakal', 'jadi', 'seperti', 'mana', 'sosmed', 'istri', 'kalau', 'doi', 'memberikan', 'tahu', 'sudah', 'nikah', 'saya', 'yakin', 'juga', 'mau', 'istri', 'biar', 'hidup', 'tenang']"
"""ardhito purnomo ternyata udah punya istri tapi nikahnya kapan, kadang cowo lbh suka disebut """"masih lajang"""", jadi klo diluaran bisa deket bnyk dgn cewe, sedangkan cewe klo udh nikah,mau di rumah, mau di luaran ga blh deket sama """"bnyk cowo"""". Emang dunia ini ga adil bg cewe ya..""","['ardhito', 'purnomo', 'nyata', 'sudah', 'punya', 'istri', 'nikah', 'kapan', 'kadang', 'cowok', 'lebih', 'suka', 'sebut', 'lajang', 'jadi', 'kalau', 'luar', 'dekat', 'banyak', 'dengan', 'cewek', 'cewek', 'kalau', 'sudah', 'nikahmau', 'rumah', 'mau', 'luar', 'enggak', 'boleh', 'dekat', 'sama', 'banyak', 'cowok', 'memang', 'dunia', 'enggak', 'adil', 'abang', 'cewek']"
kaget ardhito nark0b4,"['kaget', 'ardhito', 'narkb']"
Lebih kaget ini,"['lebih', 'kaget']"
Lahh kan emang iya udah punya istri... dah lama juga dia ngakunya... judul berita gitu amat dah...,"['lah', 'kan', 'memang', 'iya', 'sudah', 'punya', 'istri', 'deh', 'lama', 'ngakunya', 'judul', 'berita', 'begitu', 'deh']"
jgnjgn nicsap jg udah punya istri :''''),"['jgnjgn', 'nicsap', 'juga', 'sudah', 'punya', 'istri']"
Hah???,['hah']
KAGWT,['kagwt']
Ha sumpahhhh,"['tertawa', 'sumpahhhh']"
HAHHHHH!!???,['hahhhhh']
Hah,['hah']
Haaaaa????,['haaaaa']
"ngakak iya bgt, lgsg googling umur ardhito td","['tertawa', 'iya', 'banget', 'langsung', 'googling', 'umur', 'ardhito', 'tadi']"
Hahhh,['hahhh']
Hah hoh hah hoh ngang ngong ngang ngong,"['hah', 'hoh', 'hah', 'hoh', 'ngang', 'ngong', 'ngang', 'ngong']"
"gitu doang kaget, yang bikin kaget tuh kalo pemerintah pro pada rakyat.","['begitu', 'doang', 'kaget', 'bikin', 'kaget', 'tuh', 'kalau', 'perintah', 'profesional', 'rakyat']"
gw tau Ardhito itu penyanyi walaupun setelah search emang sebelumnya gak pernah dengerin lagunya. Tapi baca ini ttp kaget,"['saya', 'tahu', 'ardhito', 'nyanyi', 'walaupun', 'search', 'memang', 'belum', 'enggak', 'pernah', 'dengarkan', 'lagu', 'baca', 'tetap', 'kaget']"
